Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
29323,-9.38,-1.56,14.59,13.68,190,1.22,3807,0.00,0.00,66.67,16,8.00,10.56,82,4.50,-0.15,3.00,12.16,22.75
29580,-11.72,-1.56,14.70,13.60,190,1.20,3834,0.00,0.00,66.67,16,33.00,10.72,82,4.50,0.15,3.00,12.16,22.75
29837,-10.16,-1.56,14.93,13.52,190,1.20,3870,0.00,0.00,66.67,16,11.50,11.84,82,4.50,0.58,3.04,12.16,23.14
30094,-7.81,-1.56,15.16,13.44,190,1.29,4000,0.00,0.00,66.67,16,8.50,11.95,82,4.50,1.74,3.14,12.16,24.71
30352,-10.16,-1.56,14.70,13.52,190,1.38,3987,0.00,0.00,66.67,16,11.50,12.76,82,4.50,2.90,3.22,5.88,25.10
30609,-9.38,-1.56,14.59,13.60,189,1.42,3943,0.00,0.00,66.67,16,8.50,12.62,82,4.50,3.63,3.24,0.00,25.10
30866,-10.94,-1.56,14.70,13.60,189,1.47,4008,0.00,0.00,66.67,16,34.00,12.83,82,4.50,4.21,3.26,0.00,25.49
31124,-9.38,-1.56,15.04,13.60,189,1.45,4036,0.00,0.00,66.67,16,8.00,13.78,82,4.50,4.50,3.28,0.00,25.88
31380,-25.00,-1.56,13.90,13.68,189,0.70,4139,0.00,0.00,66.67,16,30.50,7.95,82,0.00,1.74,3.06,0.00,0.00
31638,0.00,-1.56,11.48,13.76,189,0.86,4030,0.00,-0.70,66.67,16,13.50,0.00,82,0.00,-9.00,2.62,0.00,0.00
31895,0.00,-3.12,23.08,13.76,189,0.69,3486,0.00,0.00,66.67,16,13.50,0.00,82,0.00,-9.58,2.26,0.00,0.00
32153,0.00,-3.12,23.66,13.60,189,0.92,3034,0.00,0.00,66.67,16,4.50,8.17,82,4.50,-6.67,2.48,2.35,19.22
32410,-8.59,-1.56,14.01,13.60,187,1.31,2884,0.00,0.00,66.67,16,8.50,8.17,84,4.50,-1.02,2.68,10.20,25.10
32668,-10.16,-1.56,13.78,13.52,187,1.29,2809,0.00,0.00,66.67,16,32.00,8.39,84,4.50,0.00,2.72,14.51,26.27
32924,-11.72,-1.56,13.90,13.52,187,1.33,2802,0.00,0.00,66.67,16,35.50,8.37,84,4.50,0.44,2.74,16.86,26.27
33181,-10.16,-1.56,14.24,13.52,187,1.36,2804,0.00,0.00,66.67,16,8.50,8.97,84,4.50,1.02,2.78,18.04,26.67
33439,-14.84,-1.56,13.67,13.52,187,1.38,2813,0.00,0.00,66.67,16,33.50,8.40,84,4.50,1.60,2.80,18.43,26.67
33695,-14.84,-1.56,14.70,13.52,187,1.29,2785,0.00,0.00,66.67,16,8.50,7.72,84,4.50,0.73,2.66,8.24,18.43
33953,-25.00,-1.56,13.32,13.60,187,1.06,2852,0.00,0.00,66.67,16,34.00,6.08,84,4.50,-2.61,2.48,3.14,14.90
34210,-25.00,-3.12,13.67,13.60,187,0.99,2925,0.00,0.00,66.67,16,30.50,6.24,84,4.50,-3.77,2.44,2.35,14.51
34467,-25.00,-3.12,14.01,13.60,187,0.95,2909,0.00,0.00,66.67,16,8.50,6.21,84,4.50,-4.21,2.40,2.75,14.51
34725,-21.88,-3.12,14.70,13.68,185,1.14,2860,0.00,0.00,66.67,16,11.50,6.71,84,4.50,-3.48,2.54,5.49,19.22
34982,-18.75,-1.56,15.73,13.68,185,1.21,2791,0.00,0.00,66.67,16,11.00,7.14,84,4.50,-1.74,2.60,9.80,20.78
35239,-22.66,-1.56,14.47,13.68,185,1.20,2785,0.00,0.00,66.67,16,11.50,6.53,84,4.50,-1.74,2.60,8.63,16.08
35496,-25.00,-3.12,12.29,13.68,185,0.41,2781,0.00,0.00,66.67,16,32.00,3.61,84,1.00,-7.69,1.74,0.00,4.31
35753,-25.00,-3.12,11.48,13.60,185,0.49,2757,0.00,0.00,66.67,16,23.50,2.95,84,0.00,-10.74,1.80,0.00,0.00
36010,0.00,-3.12,11.94,13.52,185,0.29,2736,0.00,0.00,66.67,16,8.50,3.50,84,0.00,-11.17,1.56,0.00,0.00
36267,0.00,-3.12,12.06,13.60,185,0.19,2695,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.17,1.70,0.00,0.00
36525,0.00,-3.12,22.28,13.68,185,0.21,2648,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.50,0.00,0.00
36781,0.00,-3.12,23.54,13.60,185,0.19,2636,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.48,0.00,0.00
37039,0.00,-2.34,23.77,13.60,183,0.16,2578,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.44,0.00,0.00
37296,0.00,0.00,23.77,13.68,183,0.19,2546,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.52,0.00,0.00
