Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
39095,1.56,6.25,14.47,13.60,178,0.98,2658,0.00,0.00,33.33,16,44.50,7.37,106,14.80,0.00,2.62,10.20,26.67
39352,0.78,6.25,14.47,13.60,178,0.99,2689,0.00,0.00,33.33,16,31.00,7.46,106,14.80,0.15,2.64,10.20,26.67
39609,1.56,6.25,14.70,13.60,178,1.00,2721,0.00,0.00,33.33,16,45.00,7.55,106,14.80,0.15,2.66,10.20,26.67
39867,-0.78,6.25,14.59,13.36,178,0.99,2693,0.00,0.00,33.33,16,44.50,7.65,106,14.80,0.15,2.66,10.20,26.67
40124,-0.78,6.25,14.70,13.44,178,0.98,2783,0.00,0.00,33.33,16,44.50,7.72,106,14.80,0.15,2.66,10.20,26.67
40381,0.78,6.25,14.81,13.44,178,1.00,2771,0.00,0.00,33.33,16,45.50,7.63,106,14.95,0.29,2.68,10.20,26.67
40638,0.00,6.25,14.59,13.44,178,1.01,2768,0.00,0.00,66.67,16,31.00,7.71,106,14.95,0.29,2.68,10.20,26.67
40895,-0.78,6.25,14.24,13.36,178,1.01,2795,0.00,0.00,66.67,16,45.00,7.75,106,14.95,0.29,2.70,10.20,26.27
41152,-3.12,6.25,14.70,13.36,178,1.01,2849,0.00,0.00,66.67,16,31.00,7.90,106,14.95,0.29,2.70,10.20,26.27
41410,-3.12,6.25,14.81,13.44,178,1.02,2858,0.00,0.00,66.67,16,45.00,7.93,106,14.95,0.29,2.70,10.20,26.27
41667,-2.34,6.25,14.81,13.44,178,0.98,2840,0.00,0.00,66.67,16,31.00,7.87,106,14.95,0.29,2.70,10.20,26.27
41925,-2.34,6.25,14.59,13.44,178,1.01,2873,0.00,0.00,66.67,16,31.00,7.97,106,14.95,0.29,2.70,10.20,25.49
42182,-3.12,6.25,14.70,13.44,178,0.99,2900,0.00,0.00,66.67,16,31.00,8.04,106,14.80,0.15,2.70,9.80,24.31
42440,-5.47,6.25,14.47,13.44,178,0.96,2879,0.00,0.00,66.67,16,33.50,7.37,106,14.36,-0.29,2.66,8.63,22.75
